os,vendedor,carne,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem,os_numero
3650,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,21,"[3650, 'ROSÂNGELA', 'Não']",2024-08-21 00:00:00,,rio_pequeno,ago_24.xlsx,3650
3673,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,22,"[3673, 'ROGÉRIO', 'Não']",2024-08-22 00:00:00,,rio_pequeno,ago_24.xlsx,3673
3674,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,23,"[3674, 'ROGÉRIO', 'Não']",2024-08-23 00:00:00,,rio_pequeno,ago_24.xlsx,3674
3683,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,23,"[3683, 'ROSÂNGELA', 'Não']",2024-08-23 00:00:00,,rio_pequeno,ago_24.xlsx,3683
3679,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,24,"[3679, 'ROSÂNGELA', 'Não']",2024-08-24 00:00:00,,rio_pequeno,ago_24.xlsx,3679
3630,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,26,"[3630, 'ROSÂNGELA', 'Não']",2024-08-26 00:00:00,,rio_pequeno,ago_24.xlsx,3630
3648,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,26,"[3648, 'ROSÂNGELA', 'Não']",2024-08-26 00:00:00,,rio_pequeno,ago_24.xlsx,3648
3696,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,27,"[3696, 'ROGÉRIO', 'Não']",2024-08-27 00:00:00,,rio_pequeno,ago_24.xlsx,3696
3697,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,27,"[3697, 'ROGÉRIO', 'Não']",2024-08-27 00:00:00,,rio_pequeno,ago_24.xlsx,3697
3695,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,28,"[3695, 'ROGÉRIO', 'Não']",2024-08-28 00:00:00,,rio_pequeno,ago_24.xlsx,3695
3691,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,28,"[3691, 'ROGÉRIO', 'Não']",2024-08-28 00:00:00,,rio_pequeno,ago_24.xlsx,3691
3699,ROGÉRIO,Não,17,OS_ENTREGUES_DIA,28,"[3699, 'ROGÉRIO', 'Não']",2024-08-28 00:00:00,,rio_pequeno,ago_24.xlsx,3699
3700,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,30,"[3700, 'ROGÉRIO', 'Não']",2024-08-30 00:00:00,,rio_pequeno,ago_24.xlsx,3700
3694,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,31,"[3694, 'ROGÉRIO', 'Não']",2024-08-31 00:00:00,,rio_pequeno,ago_24.xlsx,3694
3237,ROGERIO,Não,15,OS_ENTREGUES_DIA,1,"[3237, 'ROGERIO', 'Não']",2023-12-01 00:00:00,,rio_pequeno,dez_23.xlsx,3237
3260,ROGERIO,Não,16,OS_ENTREGUES_DIA,1,"[3260, 'ROGERIO', 'Não']",2023-12-01 00:00:00,,rio_pequeno,dez_23.xlsx,3260
3179,ROSANGELA,Sim,17,OS_ENTREGUES_DIA,1,"[3179, 'ROSANGELA', 'Sim']",2023-12-01 00:00:00,,rio_pequeno,dez_23.xlsx,3179
3232,ROGERIO,Não,15,OS_ENTREGUES_DIA,2,"[3232, 'ROGERIO', 'Não']",2023-12-02 00:00:00,,rio_pequeno,dez_23.xlsx,3232
3218,ROGERIO,Sim,16,OS_ENTREGUES_DIA,2,"[3218, 'ROGERIO', 'Sim']",2023-12-02 00:00:00,,rio_pequeno,dez_23.xlsx,3218
3214,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,4,"[3214, 'ROGÉRIO', 'Não']",2023-12-04 00:00:00,,rio_pequeno,dez_23.xlsx,3214
3259,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,4,"[3259, 'ROGÉRIO', 'Não']",2023-12-04 00:00:00,,rio_pequeno,dez_23.xlsx,3259
3206,ROGERIO,Não,15,OS_ENTREGUES_DIA,5,"[3206, 'ROGERIO', 'Não']",2023-12-05 00:00:00,,rio_pequeno,dez_23.xlsx,3206
3172,ROSANGELA,Não,15,OS_ENTREGUES_DIA,6,"[3172, 'ROSANGELA', 'Não']",2023-12-06 00:00:00,,rio_pequeno,dez_23.xlsx,3172
3241,ROGERIO,Não,15,OS_ENTREGUES_DIA,7,"[3241, 'ROGERIO', 'Não']",2023-12-07 00:00:00,,rio_pequeno,dez_23.xlsx,3241
3197,ROSANGELA,Não,16,OS_ENTREGUES_DIA,7,"[3197, 'ROSANGELA', 'Não']",2023-12-07 00:00:00,,rio_pequeno,dez_23.xlsx,3197
3198,ROSANGELA,Não,17,OS_ENTREGUES_DIA,7,"[3198, 'ROSANGELA', 'Não']",2023-12-07 00:00:00,,rio_pequeno,dez_23.xlsx,3198
3240,ROGERIO,Não,15,OS_ENTREGUES_DIA,8,"[3240, 'ROGERIO', 'Não']",2023-12-08 00:00:00,,rio_pequeno,dez_23.xlsx,3240
3262,ROGERIO,Não,16,OS_ENTREGUES_DIA,8,"[3262, 'ROGERIO', 'Não']",2023-12-08 00:00:00,,rio_pequeno,dez_23.xlsx,3262
3281,LARISSA,Não,17,OS_ENTREGUES_DIA,8,"[3281, 'LARISSA', 'Não']",2023-12-08 00:00:00,,rio_pequeno,dez_23.xlsx,3281
3250,ROGERIO,Não,18,OS_ENTREGUES_DIA,8,"[3250, 'ROGERIO', 'Não']",2023-12-08 00:00:00,,rio_pequeno,dez_23.xlsx,3250
3261,ROGERIO,Não,15,OS_ENTREGUES_DIA,9,"[3261, 'ROGERIO', 'Não']",2023-12-09 00:00:00,,rio_pequeno,dez_23.xlsx,3261
3233,ROSANGELA,Não,16,OS_ENTREGUES_DIA,9,"[3233, 'ROSANGELA', 'Não']",2023-12-09 00:00:00,,rio_pequeno,dez_23.xlsx,3233
3285,ROSANGELA,Não,17,OS_ENTREGUES_DIA,9,"[3285, 'ROSANGELA', 'Não']",2023-12-09 00:00:00,,rio_pequeno,dez_23.xlsx,3285
3242,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,11,"[3242, 'ROGÉRIO', 'Não']",2023-12-11 00:00:00,,rio_pequeno,dez_23.xlsx,3242
3243,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,11,"[3243, 'ROGÉRIO', 'Não']",2023-12-11 00:00:00,,rio_pequeno,dez_23.xlsx,3243
3244,ROGÉRIO,Não,17,OS_ENTREGUES_DIA,11,"[3244, 'ROGÉRIO', 'Não']",2023-12-11 00:00:00,,rio_pequeno,dez_23.xlsx,3244
3187,ROGÉRIO,Não,18,OS_ENTREGUES_DIA,11,"[3187, 'ROGÉRIO', 'Não']",2023-12-11 00:00:00,,rio_pequeno,dez_23.xlsx,3187
3251,GARANTIA,Não,19,OS_ENTREGUES_DIA,11,"[3251, 'GARANTIA', 'Não']",2023-12-11 00:00:00,,rio_pequeno,dez_23.xlsx,3251
3253,ROGÉRIO ,Não,15,OS_ENTREGUES_DIA,12,"[3253, 'ROGÉRIO ', 'Não']",2023-12-12 00:00:00,,rio_pequeno,dez_23.xlsx,3253
3277,ROGÉRIO ,Não,16,OS_ENTREGUES_DIA,12,"[3277, 'ROGÉRIO ', 'Não']",2023-12-12 00:00:00,,rio_pequeno,dez_23.xlsx,3277
3275,Rosagela ,Não,17,OS_ENTREGUES_DIA,12,"[3275, 'Rosagela ', 'Não']",2023-12-12 00:00:00,,rio_pequeno,dez_23.xlsx,3275
